Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-09	04:45:23	11.61	11.17	0.0	0.0
2021-06-09	05:00:37	11.61	11.17	0.0	0.0
2021-06-09	05:15:51	11.72	11.17	0.0	0.0
2021-06-09	05:30:07	11.83	11.17	0.0	0.0
2021-06-09	05:45:18	11.83	11.17	0.0	0.0
2021-06-09	06:00:29	11.83	11.17	0.0	0.0
2021-06-09	06:15:44	11.83	11.17	0.0	0.0
2021-06-09	06:30:04	11.94	11.17	0.0	0.0
2021-06-09	06:45:11	12.06	11.17	0.0	0.0
2021-06-09	07:00:18	12.22	11.17	0.0	0.0
2021-06-09	07:15:24	12.33	11.17	0.025	0.0
2021-06-09	07:30:30	12.61	11.17	0.025	0.0
2021-06-09	07:45:35	12.89	11.17	0.025	0.0
2021-06-09	08:00:39	13.5	11.17	0.025	0.0
2021-06-09	08:15:43	13.83	11.17	0.102	0.0
2021-06-09	08:30:49	14.22	11.17	0.102	0.0
2021-06-09	08:45:57	14.39	11.17	0.102	0.0
2021-06-09	09:00:02	14.72	11.17	0.102	0.0
2021-06-09	09:15:08	15.0	11.17	0.229	0.0
2021-06-09	09:30:13	15.22	11.17	0.22899999999999998	0.0
2021-06-09	09:45:18	15.61	11.17	0.229	0.0
2021-06-09	10:00:22	16.06	11.17	0.22899999999999998	0.0
2021-06-09	10:15:27	16.28	11.17	0.406	0.0
2021-06-09	10:30:32	16.39	11.17	0.406	0.0
2021-06-09	10:45:38	16.89	11.17	0.406	0.0
2021-06-09	11:00:50	18.06	11.17	0.406	0.0
2021-06-09	12:00:07	20.56	11.17	0.61	0.0
2021-06-09	12:15:08	20.56	11.17	0.94	0.0
2021-06-09	12:30:09	20.56	11.17	0.94	0.0
2021-06-09	12:45:11	20.56	11.17	0.94	0.0
2021-06-09	13:00:13	20.56	11.17	0.94	0.0
2021-06-09	13:15:53	20.94	11.17	1.321	0.0
2021-06-09	13:30:59	20.94	11.17	1.321	0.0
2021-06-09	13:45:06	20.94	11.17	1.321	0.0
2021-06-09	14:00:13	20.94	11.17	1.321	0.0
2021-06-09	14:15:19	20.94	11.17	1.651	0.0
2021-06-09	14:30:23	20.94	11.17	1.651	0.0
2021-06-09	14:45:28	20.94	11.17	1.651	0.0
2021-06-09	15:00:32	20.94	11.17	1.651	0.599
2021-06-09	15:15:37	20.94	11.17	1.7530000000000001	0.599
2021-06-09	15:30:42	20.94	11.17	1.753	0.599
2021-06-09	15:45:39	20.94	11.17	1.7530000000000001	0.599
2021-06-09	16:00:40	20.94	11.17	1.753	0.599
2021-06-09	16:15:41	20.94	11.17	1.905	0.599
2021-06-09	16:30:42	20.94	11.17	1.905	0.599
2021-06-09	16:45:43	20.94	11.17	1.905	0.599
2021-06-09	17:00:44	20.94	11.17	1.905	0.599
