CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-18 00:00,1138,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-19 00:00,1003,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-20 00:00,977,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-21 00:00,961,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-22 00:00,921,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-23 00:00,845,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-24 00:00,871,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-25 00:00,825,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-26 00:00,2318,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-27 00:00,2237,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-28 00:00,2145,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-29 00:00,2161,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-30 00:00,2135,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-01-31 00:00,2037,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-02-01 00:00,1980,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-02-02 00:00,1870,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-02-03 00:00,1737,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-02-04 00:00,1594,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-02-05 00:00,1990,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2020-02-06 00:00,1941,50,,900
